"500/27,540/25"													
	1	2	3	4	5	6	7	8	9	10	11	12	
A	75060	3323	3392	4466	3668	3438	3551	5992	3411	4567	4276	3988	"500/27,540/25"
B	35139	6943	5085	3443	4420	3719	3180	3150	4596	3366	4100	3966	"500/27,540/25"
C	18582	4958	5901	4117	3969	3939	4079	3363	5508	4493	4885	4037	"500/27,540/25"
D	10035	3746	3526	4791	4070	3581	4130	6657	3149	3847	4339	5038	"500/27,540/25"
E	7524	3451	5250	5897	3506	3772	3831	3353	6271	4807	4507	4200	"500/27,540/25"
F	5104	4040	4008	4646	5209	3724	4109	6850	5331	4875	5816	4354	"500/27,540/25"
G	4047	3525	3749	4322	3888	3551	4005	3337	5390	5635	5756	4391	"500/27,540/25"
H	3005	3500	4305	4039	3959	3241	3285	4747	6534	5138	3833	3190	"500/27,540/25"
													
undiluted													
	1	2	3	4	5	6	7	8	9	10	11	12	
A		"0,828"	"0,877"	"1,631"	"1,07"	"0,909"	"0,988"	"2,702"	"0,89"	"1,701"	"1,497"	"1,295"	undiluted
B		"3,369"	"2,065"	"0,912"	"1,598"	"1,106"	"0,728"	"0,707"	"1,722"	"0,858"	"1,374"	"1,28"	undiluted
C		"1,976"	"2,638"	"1,386"	"1,282"	"1,261"	"1,359"	"0,856"	"2,362"	"1,65"	"1,925"	"1,329"	undiluted
D		"1,125"	"0,971"	"1,859"	"1,353"	"1,009"	"1,395"	"3,169"	"0,706"	"1,196"	"1,541"	"2,032"	undiluted
E		"0,918"	"2,181"	"2,635"	"0,957"	"1,143"	"1,185"	"0,849"	"2,898"	"1,87"	"1,659"	"1,444"	undiluted
F		"1,332"	"1,309"	"1,757"	"2,152"	"1,11"	"1,38"	"3,304"	"2,238"	"1,918"	"2,578"	"1,552"	undiluted
G		"0,97"	"1,127"	"1,529"	"1,225"	"0,988"	"1,307"	"0,838"	"2,279"	"2,451"	"2,536"	"1,578"	undiluted
H		"0,953"	"1,518"	"1,331"	"1,275"	"0,771"	"0,802"	"1,828"	"3,082"	"2,102"	"1,186"	"0,735"	undiluted
													
Curve Fitting Results													
													
Curve Name	Curve Formula	A	B	R_									
Curve	Y=A*X+B	"1,42E+05"	"2,14E+03"	"0,996"									
